KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
mnuWorldMap,World Map,Weltkarte,Planète,Mappa (Pianeti),Mapa del Mundo,,Mapa Mundial,Mapa świata,Мировая карта,ワールドマップ,世界地图,世界地圖,,,Παγκόσμιος Χάρτης,,Bản đồ thế giới
mnuClick,Click:,Klick:,Clic:,Pressione:,Clic:,,Clique:,Kliknij:,Щелк:,クリック:,点击:,點擊:,,,Κλικ:,,Nhấp chuột:
inpScrollUp,Scroll Up,Scrolle hoch,Défiler Haut,Scorri in Su,Desplazar Arriba,,Rolar para Cima,Przewiń do góry,Листать вверх,Scroll Up,向上滚动,向上滾動,,,Κύληση προς τα Πάνω,,Cuộn lên
inpScrollDown,Scroll Down,Scrolle runter,Défiler Bas,Scorri in Giu',Desplazar Abajo,,Rolar para Baixo,Przewiń w dół,Листать вниз,Scroll Down,向下滚动,向下滾動,,,Κύληση προς τα Κάτω,,Cuộn xuống
inpRotateGlobe,Rotate Globe,Globus drehen,Rotation planète,Ruota Globo,Rotar el Globo,,Girar o Globo,Obróć glob,Вращать глобус,水平に戻す,旋转星球,旋轉星球,,,Περιστροφή Σφαίρας,,Xoay quả địa cầu
inpMarkerDialog,Marker Dialog,Marker Dialog,Marqueur GPS,Scegli il Dialog,Marcar Dialogo,,Marcador,Wybierz okno dialogowe,Маркер диалога,マーカーダイアログ,标记对话框,標記對話框,,,Παράθυρο Διαλόγου Δείκτη,,Hộp thoại Đánh dấu
LCDProjector,LCD Projector,LCD Projektor,Projecteur LCD,Proiettore LCD,Proyector LCD,,Projetor LCD,Projektor LCD,ЖК проектор,LCDプロジェクター,液晶投影仪,液晶投影儀,,,Προτζέκτορας LCD,,Máy chiếu LCD
inpMoveFullStack,Move Full Stack,Kompletten Stapel bewegen,Déplacer curseur,Muovi Tutto insieme,Mover Grupo Completo,,Mover Tudo,Przenieś pełny stos,Переместить всю пачку,全スタック移動,移动整堆物品,移動整堆物品,,,Μετακίνηση Πλήρης Σωρού,,Di chuyển toàn bộ
inpZoomIn,Zoom In,Einzoomen,Zoom +,Zoom +,Acercar Vista,,Mais Zoom,Zbliżenie,Увеличить,ズームイン,放大,放大,,,Μεγέθυνση,,Phóng to
inpZoomOut,Zoom Out,Auszoomen,Zoom arrière,Zoom -,Alejar Vista,,Menos Zoom,Oddalenie,Уменьшить,ズームアウト,缩小,縮小,,,Σμίκρυνση,,Thu nhỏ
lblCursorSensitivity,Cursor Sensitivity,Cursor Empfindlichkeit,Sensibilité curseur,Sensibilità Cursore,Sensibilidad del Cursor,,Sensibilidade do Cursor,Czułość kursora,Чувствительность курсора,カーソル感度,鼠标灵敏度,鼠標靈敏度,,,Ευαισθησία Κέρσορα,,Độ nhạy con trỏ
lblDeadzone,Deadzone,Tot-Zone,Zone morte,Zona Morta,Zona Muerta,,Zona Morta,Martwa strefa,Мертвая зона,遊び,手柄摇杆死区设定,手柄搖桿死區設定,,,Νεκρή Ζώνη,,Vùng nguy hiểm
hintSetCollDimsDPad1D,Enlarge: Left Shoulder 1\nShrink: X + Left Shoulder 1,Vergrößern: linker Schulterbutton 1\nVerkleinern: X + linker Schulterbutton 1,Agrandis : Épaule gauche 1\nRétrécissement : X + Épaule gauche 1,Ingrandisci: Dorsale Sinistro 1\nRimpicciolisci: X + Dorsale Sinistro 1,Ampliar: LB1\nEncoger: X + LB1,,Ampliar: Ombro esquerdo 1\nEncolher: X + Ombro esquerdo 1,Powiększ: Lewe ramię 1\nPomniejsz: X + Lewe ramię 1,Увеличить: LS 1\nУменьшить: X + LS 1,拡大: L１\n縮小: X + L１,放大: LB \n缩小: X + LB,放大: LB \n縮小: X + LB,,,Μεγέθυνση: Αριστερός ώμος 1\nΣυμπύκνωση: X + Αριστερό ώμο 1,,Phóng to: Vai trái 1\n Thu nhỏ: X + Vai trái 1
hintSetCollDimsDPad3D,"Enlarge: DPad U, D, L, R, Left Shoulder 1\n Shrink:X + DPad, Left Shoulder 1","Vergrößern: DPad U, D, L R, linker Schulterbutton 1\n Verkleinern: X + DPad, Linker Schulterbutton 1",Agrandir: DPad  \nRétrécir: X + DPad,"Ingrandisci: DPad U, D, L, R, Dorsale Sinistro 1\n Rimpicciolisci:X + DPad, Dorsale Sinistro 1","Ampliar: Cruceta Arriba, Abajo, Izquierda, Derecha, LB1\n Encoger: X + Cruceta, LB1",,"Ampliar: DPad U, D, L, R, ombro esquerdo 1\nEncolher: X + DPad, ombro esquerdo 1","Powiększ: DPad U, D, L, R, Lewe ramię 1\nPomniejsz: X + DPad, Lewe ramię 1","Увеличить: DPad U, D, L, R, LS 1\n Уменьшить: X + DPad, LS 1","拡大: 十字キー上下左右, L１\n縮小: X + 十字キー, L１","放大: 十字键上下左右，LB \n 缩小:X + 十字键, LB","放大: 十字鍵上下左右，LB \n 縮小:X + 十字鍵, LB",,,"Μεγέθυνση: DPad U, D, L, R, αριστερός ώμος 1\nΣυρρίκνωση: X + DPad, Αριστερά ώμος 1",,"Phóng to: DPad U, D, L, R, Vai trái 1\n Thu nhỏ: X + DPad, Vai trái 1"
hintWrongVersion,Wrong version,Falsche Version,Mauvaise version,Versione Sbagliata,Versión incorrecta,,Versão errada,Zła wersja,Неправильная версия,間違ったバージョン,错误的版本,錯誤的版本,,,Λάθος Έκδοση,,Phiên bản sai
hintContainsForbiddenBlock,Contains forbidden block,Enthält verbotenen Block,Contient un ou plusieurs blocs interdits,Contiene Blocchi Proibiti,Contiene un bloque prohibido,,Contém bloco proibido,Zawiera zabroniony blok,Содержит запрещенный блок,禁止ブロックが含まれています,包含禁用方块部件,包含禁用方塊部件,,,Περιέχει απαγορευμένς μπλοκ,,Chứa khối bị cấm
lblInvalidSignSetup,Invalid text formatting - please FIX to avoid later 'internal errors' !,"Ungültige Formatierung - bitte BEHEBEN um ""interne Fehler"" zu vermeiden!",Formatage de texte invalide - merci de le FIXER pour éviter des 'erreurs internes' ultérieures !,"Formato del testo non valido, correggilo per evitare eventuali ""errori interni""!","Formato de texto inválido - ¡por favor, ARREGLAR para evitar posteriores ""errores internos""!",,,,"Неправильное форматирование текста - пожалуйста, исправьте, чтобы избежать последующих «внутренних ошибок» !",無効なテキスト形式 - 後で「内部エラー」を避けるために修正してください!,,無效的文本格式-請修復以避免以後出現“內部錯誤”！,,,"Μη έγκυρη μορφή κειμένου - παρακαλώ ΦΤΙΑΞΕ για να αποφύγεις μελλοντικά ""εσωτερικά σφάλματα""!",,Định dạng văn bản không hợp lệ - vui lòng KHẮC PHỤC để tránh 'lỗi nội bộ' sau này!
lblOffsetZ,Z Offset,Z-Offset,Décalage Z,Spostamento su Z,Desplazamiento Z,,Deslocamento Z,Przesunięcie Z,Z смещение,Z軸オフセット,Z轴偏移,Z軸偏移,,,Ζ αντιστάθμιση,,Z Trục
lblRotX,X Rotation,X-Rotation,Rotation X,Rotazione X,Rotación X,,Rotação X,Obrót X,X вращение,X軸,X轴旋转,X軸旋轉,,,Χ Περιστροφή,,X Xoay
lblRotY,Y Rotation,Y-Rotation,Rotation Y,Rotazione Y,Rotación Y,,Rotação Y,Obrót Y,Y вращение,Y軸,Y轴旋转,Y軸旋轉,,,Υ Περιστροφή,,Y Xoay
lblRotZ,Z Rotation,Z-Rotation,Rotation Z,Rotazione Z,Rotación Z,,Rotação Z,Obrót Z,Z вращение,Z軸,,Z軸旋轉,,,Ζ Περιστροφή,,Z Xoay
lblPlayerNeeds_CREDITS_ToActivate_CHAPTYPE,Player needs {0} credits to activate {1},Spieler benötigt {0} Credits um {1} zu aktivieren,Le joueur a besoin de {0} crédits pour activer {1},Il Giocatore necessita di {0} crediti per attivare {1},El jugador necesita {0} créditos para activar {1},,O jogador precisa de {0} créditos para ativar o {1},"Gracz potrzebuje {0} kredytów, aby aktywować {1}",Игроку необходимо {0} кредитов для активации {1},{1}を有効にするには{0}クレジットが必要です,玩家需要{0}点数才能激活{1},玩家需要{0}點數才能啟動{1},,,Ο παίκτης χρειάζεται {0} πόντους για να ενεργοποιήσει {1},,Người chơi cần số tiền {0} để kích hoạt {1}
btnConvertToNew,Convert to New Mode,In neuen Modus konvertieren,Convertit au nouveau Mode,Converti alla Nuova Modalità,Convertir a Nuevo Modo,,Converter para um Modo Novo,Przekonwertuj do nowego trybu,Преобразовать в Новый режим,新しいモードに変換,转换为新模式,轉換為新模式,,,Μετατροπή σε νέα Λειτουργία,,Chuyển đổi sang chế độ mới
tipConvertToNew,Enables all new features (cannot be undone!),Ermöglicht alle neuen Features (kann nicht rückgängig gemacht werden!),Active toutes les nouvelles fonctions (ne peut pas être annulé !),Attiva tutte le nuove funzionalità (non può essere annullato!),Habilita todas las nuevas funciones (¡no se puede deshacer!),,Ativa todos os novos recursos (não pode ser desfeito!),Włącza wszystkie nowe funkcje (nie można cofnąć!),Включает все новые функции (нельзя отменить!),すべての新機能を有効にします(元に戻せません!),启用所有新功能（无法撤消！）,啟用所有新功能（無法撤消！）,,,Ενεργοποιεί όλα τα νέα χαρακτηριστικά (δεν μπορεί να αλλάξει!),,Bật tất cả các tính năng mới (không thể hoàn tác!)
cplCPUPenalty,CPU Penalty Level:,CPU Strafstufe:,Niveau de pénalité CPU:,Livello Penalità CPU:,Nivel de penalización del CPU:,,Nível de penalidade da CPU:,Przeciążenie CPU:,Уровень штрафов процессора:,CPUペナルティーレベル:,CPU惩罚级别:,CPU懲罰級別:,,,Επίπεδα CPU:,,Mức phạt CPU:
inpCtrModifier,CTR Modifier,CTR Modifikator,Modificateur CTR,Modificatore CTR,Modificador CTRL,,Modificador CTR,Modyfikator CTR,CTR Модификатор,CTR Modifier,CTRL绑定键修改,CTRL綁定鍵修改,,,Τροποποιητής CTR,,Công cụ sửa đổi CTR
btnCPUPoints,CPU Points,CPU Punkte,Points CPU,Punti CPU,Puntos CPU,,Pontos de CPU,Punkty CPU,ЦП Точки,CPUポイント,CPU点数,CPU點數,,,Πόντοι CPU,,Điểm CPU
mnuCPUPoints,CPU Points,CPU Punkte,Points CPU,Punti CPU,Puntos de la CPU,,,,ЦП Точки,CPUポイント,,CPU點數,,,Πόντοι CPU,,Điểm CPU
bhiCPUPoints,Enable/Disable CPU Point System,CPU Punkte System Ein/Aus,Active/désactive le système de points du CPU,Attiva/Disattiva il Sistema Punti CPU,Activar/Desactivar Sistema de Puntos de CPU,,Ativar/desativar o sistema de pontos da CPU,Włącz / wyłącz system punktowy CPU,Вкл/Выкл Систему ЦП Точек,CPUポイントシステムの有効化/無効化,启用/禁用CPU点数系统,啟用/禁用CPU點數係統,,,Ενεργοποίηση/Απενεργοποίηση συστήματος Πόντων CPU,,Bật /Tắt hệ thống điểm CPU
lblSpace,Space Base,Weltraumbasis,Base spatiale,Base Spaziale,Base Espacial,,Base Espacial,Stacja kosmiczna,Космическая База,宇宙基地,太空基地,太空基地,,,Διαστημική Βάση,,Căn cứ không gian
lblTerrain,Planetary Base,Planetare Basis,Base terrestre,Base Terrestre,Base Planetaría,,Base Planetária,Baza planetarna,Наземная База,惑星基地,地表基地,地表基地,,,Βάση Εδάφους,,Cơ sở hành tinh
lblFloatingBase,Floating Base,Schwebende Basis,Base flottante,Base Fluttuante,Base Flotante,,Base Flutuante,Baza pływająca,Плавающая База,浮遊基地,,懸浮基地,,,Αιωρούμενος Βάση,,Căn cứ nổi
lblAirtight,Airtight,Luftdicht,Hermétique,Ermetico,Hermético,,Hermético,Szczelność,Герметичность,気密性,,氣密,,,Αεροστεγές,,Kín gió
tipUsableInSpace,Usable in space / orbits,Im Weltraum / Orbit verwendbar,Utilisable dans Espace/Orbite,Utilizzabile in Spazio / Orbite,Usable en espacio / orbitas,,Utilizável no espaço / órbita,Do użytku w przestrzeni kosmicznej,Используется в космосе /  на орбитах,宇宙空間にて使用可能,,在太空/軌道上可用,,,Χρησιμοποιείται στο διάστημα / τροχιά,,Có thể sử dụng trong không gian /quỹ đạo
tipUsableOnTerrain,Usable on terrain (set terrain parameters!),Auf Terrain verwendbar (Terrain-Parameter setzen!),Utilisable sur Terrain (définir paramètres terrain),Utilizzabile su Terreno (imposta parametri terreno!),Utilizable en el terreno (¡fije los parámetros del terreno!),,Utilizável no terreno (defina os parâmetros do terreno!),Do użytku w terenie (ustaw parametry terenu!),Используется на местности (задайте параметры местности!),地表で使用可能 (地形パラメータを設定してください！),在地面上可用（设置地形参数！）,在地面上可用（設置地形參數！）,,,Χρησιμοποιείται στο έδαφος (ορισμός παραμέτρων εδάφους!),,Có thể sử dụng trên địa hình (đặt các thông số địa hình!)
tipFloatingBase,Floating Base (set terrain parameters!),Schwebende Basis (Terrain-Parameter setzen!),Base flottante (définir paramètres terrain),Base Fluttuante (imposta parametri terreno!),Base Flotante (¡fije los parámetros del terreno!),,Base flutuante (definir parâmetros do terreno!),Baza pływająca (ustaw parametry terenu!),Плавающая база (установить параметры местности!),フローティング (地形パラメータを設定してください！),悬浮基地（设置地形参数！）,懸浮基地（設置地形參數！）,,,Χρησιμοποιείται στην Αιωρούμενη Βάση (ορισμός παραμέτρων εδάφους!),,Căn cứ nổi (đặt thông số địa hình!)
tipAirtight,Is airtight (common for space or without atmosphere),Luftdicht (üblich im Weltraum oder ohne Atmosphäre),Hermétique (commun pour l'espace ou sans atmosphère),Ermetico (comune per spazio o senza atmosfera),Es hermético (común para el espacio o sin atmósfera),,É hermético (comum para o espaço ou sem atmosfera),Szczelność (wspólny dla przestrzeni kosmicznej oraz braku atmosfery),Герметичность (обычно для космоса или без атмосферы),気密性有 (宇宙空間や大気がなくとも適応),密封（一般用于无大气区域或太空）,密封（一般用於無大氣區域或太空）,,,Είναι αεροστεγές (κοινό για το διάστημα ή χωρίς ατμόσφαιρα),,Có kín gió (chung cho không gian hoặc không có khí quyển)
lblCPUEfficiency:,CPU Efficiency:,CPU Effizienz:,Efficacité CPU:,Efficienza CPU:,Eficiencia del CPU:,,Eficiência da CPU:,Wydajność CPU:,ЦП Эффективность:,CPU効率:,CPU效率:,CPU效率:,,,Αποδοτικότητα CPU:,,Hiệu quả CPU:
cplCPUUsage,CPU Usage:,CPU verwendet:,Utilisation CPU:,Utilizzo CPU:,Uso de CPU:,,Utilização do CPU:,Użycie CPU:,ЦП Используется:,CPU使用量:,CPU使用率:,CPU使用率:,,,Χρήση CPU:,,Sử dụng CPU:
cplCPUTier,CPU Tier:,CPU Stufe:,Niveau CPU:,Livello CPU:,Nivel de CPU:,,Camada da CPU:,Poziom CPU:,ЦП Класс:,CPUランク:,,CPU等級,,,Βαθμός CPU:,,Bậc CPU:
lblGround,Ground,Boden,Sol,Terreno,Terreno,,Terra,Powierzchnia,Поверхность,地表,地面,地面,,,Έδαφος,,Mặt đất
lblOrbit,Orbit,Orbit,Orbite,Orbita,Órbita,,Órbita,Orbita,Орбита,軌道,轨道,軌道,,,Τροχιά,,Quỹ đạo
bhiTextureResolution,Set Overall Texture Resolution (except Character Model). Limited to 'Half' if Video Memory is 1GB or less. You must [c][ff4d4d]restart the game[-][5fa8ff] for this to take effect.,"Lege die Gesamttexturauflösung fest (außer Charaktermodell). Begrenzt auf 'Halb', wenn der Videospeicher 1 GB oder weniger beträgt. Du musst [c][ff4d4d]das Spiel neu starten[-][5fa8ff], damit dies wirksam wird.",Définit la résolution globale des textures (sauf le modèle de personnage). Limitée à 'la moitié' si la mémoire vidéo est de 1 Go ou moins. Tu dois [c][ff4d4d]redémarrer le jeu[-][5fa8ff] pour que cela prenne effet.,Imposta la Risoluzione Generale delle Texture (Modelli Personaggi esclusi). Limitata a “Metà” se la memoria video è 1GB o inferiore. È necessario [c][ff4d4d]riavviare il gioco[-][5fa8ff] per applicare i cambiamenti.,"Establece la resolución general de las texturas (excepto el modelo de los personajes). Limitada a la ""mitad"" si la memoria de vídeo es de 1 GB o menos. Debes [c][ff4d4d]reiniciar el juego[-][5fa8ff] para que esto tenga efecto.",,,,"Установите общее разрешение текстур (кроме модели персонажа). Ограничено «Половина», если видеопамять 1 Гб или меньше. Вы должны [c][ff4d4d]перезапустить игру[-][5fa8ff] чтобы изменения вступили в силу.",全体のテスクチャ解像度(キャラクターモデルを除く) . ビデオメモリが1GB以下の場合は半分に制限されています. 適用には[c][ff4d4d]ゲームの再起動が必要[-][5fa8ff]です. ,,設定總體材質解析度（除角色模型外）。顯存低於1GB時限定為“50%”。 你必須 [c][ff4d4d]重新啟動遊戲[-][5fa8ff]來使改變生效。,,,"Ορισμός Συνολικής Ανάλυσης Υφής (εκτός από το Μοντέλο Χαρακτήρα). Περιορίζεται στο ""μισό"" αν η Μνήμη Βίντεο είναι 1GB ή λιγότερο. Πρέπει να κάνεις [c][ff4d4d]επανεκκίνηση το παιχνίδι[-][5fa8ff] για να εφαρμοστεί.",,Đặt Độ phân giải Kết cấu Tổng thể (ngoại trừ Mô hình Nhân vật). Giới hạn ở 'Một nửa' nếu Bộ nhớ Video từ 1GB trở xuống. Bạn phải [c] [ff4d4d] khởi động lại trò chơi [-] [5fa8ff] để điều này có hiệu lực.
lblWait,Wait,Warten,Patientez ...,Attendi,Espera,,Esperar,Oczekiwanie,Ожидание,待機,,待機,,,Αναμονή,,Chờ
cplActiveTier,Active Tier,Aktive Stufe,Niveau actif,Livello Attivo,Nivel Activo,,Nível Ativo,Klasa aktywna,Активный Класс,稼働ランク,,使用等級,,,Ενεργός Βαθμός,,Bậc hoạt động
cplCPUPointTiers,CPU Point Tiers,CPU Punktestufe,Niveaux et  Points CPU,Livelli Punti CPU,Nivel de Puntos CPU,,Níveis de pontos da CPU,Punkty klasy CPU,ЦП Очки класса,CPUポイントランク,CPU点数,CPU點數,,,Πόντοι Βαθμού CPU,,Bậc điểm CPU
cplTierStats,CPU Tier Statistics,CPU Stufenstatistik,Eléments CPU,Statistiche Livello CPU,Estadísticas del Nivel de CPU,,Estatísticas de nivel de CPU,Statystyka klasy CPU,ЦП Статистика класса,CPUランク統計,CPU等级统计,CPU等級統計,,,Στατιστικά Βαθμού CPU,,Thống kê Bậc CPU
cplCPUStats,CPU Statistics,CPU Statistik,Statistiques CPU,Statistiche CPU,Estadísticas CPU,,Estatísticas da CPU,Statystyka CPU,ЦП Статистика,CPU統計,CPU统计,CPU統計,,,Στατιστικά CPU,,Thống kê CPU
WalkwayLargeBlocks,Walkways & Railings L,Gehwege & Geländer L,Passerelles et rambardes L,Passerelle & Ringhiere L,Pasarelas y barandillas L,,Passarelas e Trilhos L,Chodniki i balustrady L,Дорожки & Ограждения Б,歩道と手すり L,过道和栅栏方块组 L,過道和柵欄方塊組 L,,,Πεζοδρόμια και Μπάρες L,,Lối đi & lan can L
WalkwaySmallBlocks,Walkways & Railings S,Gehwege & Geländer S,Passerelles et rambardes S,Passerelle & Ringhiere S,Pasarelas y barandillas S,,Passarelas e Trilhos S,Chodniki i balustrady S,Дорожки & Ограждения М,歩道と手すり S,过道和栅栏方块组 S,過道和柵欄方塊組 S,,,Πεζοδρόμια και Μπάρες S,,Lối đi & lan can S
vstMinLiftoffForce,Min. Lift-Off Thrust:,Min. Abhebe-Schub:,Poussée MIN au décollage:,Spinta Min. di Sollevamento:,Empuje de Despegue Min.:,,Min. Prop. de Decolagem:,Min. ciąg oderwania:,Мин. тяга взлета:,最小上昇推力:,,最小起飛推力:,,,Ελάχιστη Ώθηση Απογείωσης:,,Lực đẩy lên nhỏ nhất
vstRemainThrst,Remaining Thrust:,Verbleibender Schub:,Poussée restante:,Propulsione Rimasta:,Propulsión Restante:,,Prop. Restante:,Pozostały ciąg:,Свободная тяга:,残り推力:,剩余推力:,剩餘推力:,,,Υπολοιπόμενη Ώθηση:,,Lực đẩy còn lại:
inpGodMode,Fly in God Mode (Toggle),Fliegen im God Mode (Umschalten),Voler en mode Dieu (switch),Volo in God Mode (Alterna),Volar en Modo Dios (Alternar),,Voar em Modo Deus (alterar),Tryb lotu GodMode (przełącznik),Полет в God Mode (переключение),ゴッドモードの切り替え (トグル),在上帝模式下飞行(切换),飛行模式,,,Πέταγμα σε λειτουργία Θεού (Εναλλαγή),,Bay trong God Mode (Chuyển đổi)
mnuToggleRemoteLogistics,Toggle Connected Toolbar,Fernzugriff-Arbeitsleiste umschalten,Basculer la barre d'outils connectée,Attivazione Cintura Connessa,Activar la barra de herramientas conectada,,,,Переключить подключенную панель,コネクトツールバーの切り替え,,物流連接工具欄開關,,,Εμφάνιση Συνδεδεμένης Γραμμής Εργαλειών,,Chuyển đổi Thanh công cụ được Kết nối
vstAcc,Acc:,Beschleunigung:,Accélération:,Accelerazione:,Aceleración:,,Acc:,Przyśpieszenie:,Ускорение:,加速度:,加速:,加速:,,,Acc:,,GT:
vstSpeed,Speed:,Geschwindigkeit:,Vitesse:,Velocità:,Velocidad:,,Velocidade:,Prędkość:,Скорость:,速度:,速度:,速度:,,,Ταχύτητα:,,Tốc độ
vstTorquePlus,Torque +:,Drehmoment +:,Couple +:,Coppia +:,Par +:,,Torque +:,Moment obrotowy +:,Вращение +:,トルク +:,扭矩 +:,扭矩 +:,,,Ροπή +:,,Mô-men xoắn +:
vstTorqueMinus,Torque -:,Drehmoment -:,Couple -:,Coppia -:,Par -:,,Torque -:,Moment obrotowy -:,Вращение -:,トルク -:,扭矩 -:,扭矩 -:,,,Ροπή -:,,Mô-men xoắn -:
utsCentiDegreesPerSec,deg/s,grad/s,Dégrés/s,°/s,grados/s,,deg/s,stopień/sec,град/сек,deg/s,角度/秒,角度/秒,,,μοίρες/s,,độ /s
vstRCSNoCol,RCS,RCS,Gyroscope,Giroscopio,Giróscopo,,RCS,RCS,РСУ,姿勢制御システム,定向陀螺仪,定向陀螺儀,,,RCS,,RCS
vstThrustNoCol,Thrust,Schubdüsen,Poussée,Propulsione,Propulsión,,propulsão,Siła,Тяга,Thrust,推力,推力,,,Ωθητήρας,,Động cơ đẩy
vstTorqueLegend,[ADD2FF]Legend: Total Torque(+/-)[-] ([00AA00]RCS[-] + [AAAA00]Thruster[-]),[ADD2FF]Legende: Drehmoment gesamt (+/-)[-] ([00AA00]RCS[-] + [AAAA00]Schubdüsen[-]),[ADD2FF]Légende: Couple total(+/-)[-] ([00AA00]Gyroscope[-] + [AAAA00]Propulseur[-]),[ADD2FF]Legenda: Coppia Totale(+/-)[-] ([00AA00]Giroscopio[-] + [AAAA00]Propulsore[-]),[ADD2FF]Leyenda: Par total(+/-)[-] ([00AA00]Giróscopo[-] + [AAAA00]Propulsor[-]),,[ADD2FF]Legenda: Torque Total(+/-)[-] ([00AA00]RCS[-] + [AAAA00]Propulsor[-]),[ADD2FF]Legenda: Moment obrotowy (+/-)[-]([00AA00]RCS[-] + [AAAA00]Silnik[-]),[ADD2FF]Легенда: Общее вращение (+/-)[-] ([00AA00]РСУ[-] + [AAAA00]Тяга[-]),[ADD2FF]Legend: Total Torque(+/-)[-]([00AA00]姿勢制御システム[-] + [AAAA00]Thruster[-]),[ADD2FF]图例:扭矩 (+/-)[-] ([00AA00]定向陀螺仪[-] + [AAAA00]推进器[-]),[ADD2FF]圖例:扭矩 (+/-)[-] ([00AA00]定向陀螺儀[-] + [AAAA00]推進器[-]),,,[ADD2FF]Θρύλος: Συνολική Ροπή(+/-)[-] ([00AA00]RCS[-] + [AAAA00]Ωθητήρας[-]),,[ADD2FF] Chú giải: Tổng mô-men xoắn (+/-) [-] ([00AA00] RCS [-] + [AAAA00] Bộ đẩy [-])
lblCpuTierClass:,CPU Tier Class:,CPU Stufe:,Niveau CPU:,Livello Classe CPU:,Nivel de Clase de CPU:,,Classe da CPU:,Klasa CPU:,ЦП Класс:,CPUランク:,CPU等级类别:,CPU等級類別:,,,Κλαση Βαθμίδας CPU:,,Phân cấp CPU:
lblCpuPointsUsed:,CPU Points Used:,Verwendete CPU-Punkte:,Points CPU utilisés:,Punti CPU Utilizzati:,Puntos de CPU Usados:,,Pts. de CPU Usados:,Wykorzystane punkty CPU:,ЦП Очков использовано:,使用中のCPUポイント:,使用的CPU点数:,使用的CPU點數:,,,Χρησιμιποιημένοι Πόντοι CPU:,,Điểm CPU được sử dụng:
vstDrag,Drag:,Widerstand:,Résistance:,Resistenza:,Resistencia:,,Estabilidade:,Opór:,Устойчивость:,抗力:,阻力:,阻力:,,,Σύρσιμο:,,Kéo:
vstLift,Lift:,Auftrieb:,Portance:,Carico Sollevabile:,Suspensión:,,Capacidade de Carga:,Nośność:,Подъем:,揚力:,浮力:,浮力:,,,Ανύψωση:,,Nâng lên:
vstCargoMass,Cargo Lift Available:,Mögliche Zuladung:,Charge utile disponible:,Carico Sollevabile Disponibile:,Capacidad de Carga Disponible:,,Capacidade de carga disponível:,Dostępna nośność:,Грузоподъемность:,積載可能重量:,有效负载:,有效負載:,,,Διαθέσιμη Μάζα Εμπορεύματος:,,Thang máy chở hàng có sẵn:
WallMediumDouble,Wall Medium Double,Wand mittel doppelt,Mur double médium,Muro Medio Doppio,Pared Media Doble,,,"Ściana średnia, podwójna",Стена средняя двойная,ウォール ミディアム ダブル,双墙壁中部,雙牆壁中部,,,Διπλός Μεσαίος Τοίχος,,Tường vừa đôi
RampBDouble,Ramp B Double,Rampe B doppelt,Rampe B2,Rampa Doppia B,"Rampa ""B"" Doble",,,"Rampa B, podwójna",Трап B двойной,ランプ B ダブル,双层斜坡 B,雙層斜坡 B,,,Διπλή Ράμπα Β,,Đường dốc B Đôi
SmallCornerRoundB2,Small Corner Round B2,Kleine Ecke rund B2,Petit coin arrondi B2,Angolo Arrotondato A - Distrutto,"Esquina Pequeña Redonda ""B2""",,,"Mały róg, zaokrąglony B2",Малый угол скругленный B2,スモール コーナー ラウンド B2,凹弧形拐角 B2,凹弧形拐角 B2,,,Μικρή Στρογγυλή Γωνία Β2,,Góc nhỏ Vòng B2
CubeSteppedEdge,Cube Stepped Edge,Gestufter Würfel Ecke,Cube coin pyramide,Cubo Angolo a Piramide,Esquina de Cubo Escalonada,,,"Sześcian, stroma krawędź",Куб ступенчатая кромка,キューブ ステップ エッジ,正方体三角形阶梯,正方體三角形階梯,,,Σταδιακή Άκρη Κύβου,,Khối Bộ hành góc
CubeQuarterEdge,Cube Quarter Edge,Viertelblock Ecke,1/4 cube pyramide,Cubo 1/4 con Piramide,Cubo 1/4 Pirámide,,,"Sześcian, ćwierć krawędzi",Куб без четвертинки,キューブ 1/4 エッジ,四分之一正方体三角形阶梯,四分之一正方體三角形階梯,,,Τέταρτο Άκρης Κύβου,,Khối Nửa Đường dốc
CubeHalfRamp,Cube Half Ramp,Halbblock Rampe,Demi-cube rampe,Cubo 1/2 con Rampa,Cubo Media Rampa,,,"Sześcian, pół rampy",Куб полутрап,キューブ ハーフ ランプ,正方体半斜坡,正方體半斜坡,,,Κυβική Μισή Ράμπα,,Khối Nửa Đường dốc
CubeHalfCubeConnector,Cube Half Cube Connector,Halbblock Wüfel Verbinder,Cube rampe,Cubo 1/2 Connettore Cubo,Cubo Conector Semi-cubo,,,"Sześcian, pół kostki - łącznik",Куб полукуб соединение,キューブ ハーフ キューブ コネクタ,正方体半正方体连接器,正方體半正方體連接器,,,Συνδετήρας Κυβικής Μισής Ράμπας,,Đầu nối nửa khối lập phương
CornerSmallCMediumLow,Corner Small C Medium Low,Ecke Klein C mittel niedrig,Petit coin C bas,Angolo Piccolo C Basso,"Esquina Pequeña ""C"" Mediana Baja",,,"Róg mały C, średni niski",Угол малый C Средний Низкий,コーナー スモール C ミディアム ロー,小角C底部,小角C底部,,,Μικρή Γωνία C Μεσαία Χαμηλή,,Góc Nhỏ C Trung bình Thấp
